;Code_Site;Code_CT_SC_M;Abondance
404;T_S260;231;25
405;T_S261;231;2
406;T_S263;231;9
407;T_S264;231;1
408;T_S265;231;27
409;T_S266;231;38
410;T_S267;231;165
411;T_S268;231;73
412;T_S269;231;49
413;T_S270;231;3
414;T_S271;231;124
415;T_S272;231;47
416;T_S273;231;2
417;T_S274;231;10
418;T_S249;232;23
419;T_S250;232;5
420;T_S251;232;26
421;T_S252;232;11
422;T_S253;232;21
423;T_S254;232;21
424;T_S255;232;36
425;T_S256;232;38
426;T_S257;232;28
427;T_S258;232;151
428;T_S259;232;24
429;T_S260;232;42
430;T_S261;232;25
431;T_S262;232;9
432;T_S263;232;10
433;T_S264;232;22
434;T_S265;232;15
435;T_S266;232;106
436;T_S267;232;118
437;T_S268;232;52
438;T_S269;232;18
439;T_S270;232;41
440;T_S271;232;33
441;T_S272;232;12
442;T_S273;232;109
443;T_S274;232;145
444;T_S275;232;25
445;T_S249;233;14
446;T_S250;233;1
447;T_S251;233;23
448;T_S252;233;2
449;T_S253;233;25
450;T_S254;233;5
451;T_S255;233;7
452;T_S256;233;21
453;T_S257;233;26
454;T_S258;233;77
455;T_S259;233;19
456;T_S260;233;39
457;T_S261;233;18
458;T_S262;233;1
459;T_S263;233;8
460;T_S264;233;2
461;T_S265;233;32
462;T_S266;233;14
463;T_S267;233;43
464;T_S268;233;14
465;T_S269;233;46
466;T_S270;233;49
467;T_S271;233;15
468;T_S272;233;19
469;T_S273;233;1
470;T_S274;233;12
471;T_S275;233;13
472;T_S257;234;7
473;T_S260;234;3
474;T_S269;234;9
475;T_S270;234;4
476;T_S256;241;7
477;T_S257;241;2
478;T_S260;241;7
479;T_S266;241;9
480;T_S267;241;66
481;T_S268;241;10
482;T_S271;241;56
483;T_S275;241;2
484;T_S249;242;5
485;T_S251;242;4
486;T_S253;242;8
487;T_S254;242;8
488;T_S255;242;8
489;T_S256;242;13
490;T_S257;242;13
491;T_S258;242;5
492;T_S259;242;15
493;T_S260;242;14
494;T_S262;242;3
495;T_S263;242;6
496;T_S264;242;2
497;T_S265;242;4
498;T_S266;242;7
499;T_S267;242;32
500;T_S268;242;15
501;T_S269;242;7
502;T_S270;242;6
503;T_S271;242;3
504;T_S273;242;7
505;T_S274;242;36
506;T_S275;242;3
507;T_S249;243;169
508;T_S250;243;38
509;T_S251;243;32
510;T_S252;243;39
511;T_S253;243;113
512;T_S254;243;110
513;T_S255;243;85
514;T_S256;243;255
515;T_S257;243;109
516;T_S258;243;128
517;T_S259;243;47
518;T_S260;243;55
519;T_S261;243;51
520;T_S262;243;91
521;T_S263;243;114
522;T_S264;243;63
523;T_S265;243;110
524;T_S266;243;77
525;T_S267;243;60
526;T_S268;243;48
527;T_S269;243;69
528;T_S270;243;67
529;T_S271;243;16
530;T_S272;243;31
531;T_S273;243;116
532;T_S274;243;26
533;T_S275;243;173
534;T_S251;244;46
535;T_S254;244;1
536;T_S256;244;1
537;T_S258;244;2
538;T_S260;244;1
539;T_S261;244;16
540;T_S267;244;24
541;T_S272;244;1
542;T_S249;253;1
543;T_S251;253;12
544;T_S252;253;1
545;T_S253;253;1
546;T_S254;253;5
547;T_S255;253;1
548;T_S256;253;7
549;T_S257;253;1
550;T_S258;253;5
551;T_S259;253;7
552;T_S260;253;6
553;T_S261;253;3
554;T_S262;253;1
555;T_S263;253;2
556;T_S264;253;1
557;T_S266;253;4
558;T_S267;253;14
559;T_S268;253;1
560;T_S269;253;4
561;T_S270;253;9
562;T_S271;253;13
563;T_S272;253;1
564;T_S274;253;1
565;T_S275;253;1
566;T_S249;254;48
567;T_S251;254;51
568;T_S252;254;1
569;T_S253;254;23
570;T_S254;254;3
571;T_S255;254;20
572;T_S256;254;43
573;T_S257;254;40
574;T_S258;254;34
575;T_S259;254;6
576;T_S260;254;35
577;T_S261;254;15
578;T_S262;254;10
579;T_S263;254;7
580;T_S264;254;8
581;T_S265;254;2
582;T_S266;254;30
583;T_S267;254;31
584;T_S268;254;43
585;T_S269;254;5
586;T_S271;254;6
587;T_S273;254;5
588;T_S274;254;24
589;T_S275;254;36
590;T_S255;312;7
591;T_S256;312;1
592;T_S257;312;2
593;T_S259;312;7
594;T_S260;312;1
595;T_S261;312;4
596;T_S263;312;4
597;T_S264;312;2
598;T_S265;312;8
599;T_S266;312;2
600;T_S268;312;1
601;T_S273;312;4
602;T_S274;312;4
603;T_S249;322;3
604;T_S250;322;2
605;T_S252;322;6
606;T_S254;322;2
607;T_S256;322;2
608;T_S257;322;1
609;T_S258;322;1
610;T_S259;322;2
611;T_S262;322;1
612;T_S265;322;3
613;T_S266;322;1
614;T_S272;322;1
615;T_S275;322;1
616;T_S249;332;1
617;T_S251;332;1
618;T_S252;332;1
619;T_S256;332;2
620;T_S257;332;3
621;T_S258;332;15
622;T_S259;332;2
623;T_S260;332;4
624;T_S261;332;1
625;T_S263;332;3
626;T_S265;332;3
627;T_S266;332;2
628;T_S267;332;15
629;T_S268;332;11
630;T_S271;332;13
631;T_S272;332;15
632;T_S273;332;9
633;T_S274;332;3
634;T_S275;332;3
635;T_S249;333;2
636;T_S252;333;2
637;T_S253;333;3
638;T_S254;333;2
639;T_S261;333;1
640;T_S264;333;1
641;T_S266;333;1
642;T_S273;333;1
643;T_S274;333;4
644;T_S275;333;1
645;T_S251;342;1
646;T_S256;342;1
647;T_S258;342;2
648;T_S251;343;1
649;T_S258;343;1
650;T_S267;343;3
651;T_S269;343;2
652;T_S270;343;1
653;T_S271;343;2
654;T_S272;343;4
655;T_S249;344;155
656;T_S250;344;60
657;T_S251;344;2
658;T_S252;344;1
659;T_S255;344;1
660;T_S257;344;7
661;T_S259;344;1
662;T_S261;344;1
663;T_S265;344;2
664;T_S266;344;1
665;T_S267;344;2
666;T_S269;344;2
667;T_S271;344;1
668;T_S272;344;2
669;T_S271;352;2
670;T_S274;352;1
671;T_S249;353;8
672;T_S250;353;6
673;T_S251;353;9
674;T_S253;353;3
675;T_S254;353;3
676;T_S255;353;12
677;T_S256;353;3
678;T_S257;353;9
679;T_S258;353;7
680;T_S259;353;9
681;T_S260;353;2
682;T_S261;353;4
683;T_S262;353;2
684;T_S263;353;5
685;T_S264;353;3
686;T_S265;353;8
687;T_S266;353;5
688;T_S267;353;1
689;T_S273;353;2
690;T_S275;353;5
691;T_S272;354;3
692;T_S257;363;1
693;T_S260;363;1
694;T_S267;363;6
695;T_S268;363;3
696;T_S273;363;2
697;T_S274;363;1
698;T_S256;364;2
699;T_S258;364;1
700;T_S259;364;1
701;T_S263;364;1
702;T_S264;364;1
703;T_S267;364;1
704;T_S268;364;1
705;T_S269;364;1
706;T_S258;400;30
707;T_S267;400;25
708;T_S271;400;2
709;T_S249;402;14
710;T_S250;402;15
711;T_S251;402;3
712;T_S253;402;3
713;T_S254;402;10
714;T_S255;402;18
715;T_S256;402;50
716;T_S257;402;9
717;T_S258;402;6
718;T_S260;402;15
719;T_S265;402;2
720;T_S266;402;4
721;T_S267;402;151
722;T_S268;402;13
723;T_S270;402;1
724;T_S271;402;6
725;T_S272;402;33
726;T_S250;411;15
727;T_S252;411;117
728;T_S254;411;74
729;T_S255;411;91
730;T_S259;411;45
731;T_S261;411;82
732;T_S262;411;55
733;T_S263;411;26
734;T_S264;411;51
735;T_S265;411;182
736;T_S268;411;6
737;T_S251;412;178
738;T_S252;412;3
739;T_S253;412;49
740;T_S254;412;3
741;T_S255;412;11
742;T_S256;412;38
743;T_S257;412;28
744;T_S259;412;63
745;T_S261;412;16
746;T_S262;412;50
747;T_S263;412;55
748;T_S264;412;28
749;T_S265;412;2
750;T_S266;412;12
751;T_S267;412;207
752;T_S268;412;26
753;T_S269;412;10
754;T_S270;412;2
755;T_S271;412;322
756;T_S272;412;1069
757;T_S273;412;2
758;T_S275;412;15
759;T_S250;421;20
760;T_S251;421;68
761;T_S252;421;158
762;T_S253;421;9
763;T_S254;421;6
764;T_S255;421;105
765;T_S256;421;20
766;T_S257;421;71
767;T_S258;421;677
768;T_S259;421;124
769;T_S260;421;30
770;T_S262;421;73
771;T_S263;421;93
772;T_S264;421;1068
773;T_S265;421;7
774;T_S266;421;12
775;T_S267;421;3
776;T_S268;421;75
777;T_S269;421;8
778;T_S270;421;14
779;T_S271;421;31
780;T_S272;421;19
781;T_S273;421;887
782;T_S274;421;32
783;T_S275;421;92
784;T_S249;422;19
785;T_S250;422;17
786;T_S251;422;816
787;T_S252;422;91
788;T_S253;422;463
789;T_S254;422;156
790;T_S255;422;173
791;T_S256;422;598
792;T_S257;422;238
793;T_S258;422;2100
794;T_S259;422;1725
795;T_S260;422;344
796;T_S261;422;371
797;T_S262;422;102
798;T_S263;422;2931
799;T_S264;422;2023
800;T_S265;422;1767
801;T_S266;422;495
802;T_S267;422;574
803;T_S268;422;807
804;T_S270;422;17
805;T_S271;422;451
806;T_S272;422;670
807;T_S273;422;250
808;T_S274;422;148
809;T_S275;422;2206
810;T_S273;424;390
811;T_S249;432;7
812;T_S253;432;21
813;T_S257;432;17
814;T_S260;432;17
815;T_S265;432;32
816;T_S266;432;11
817;T_S267;432;66
818;T_S268;432;13
819;T_S269;432;1
820;T_S270;432;2
821;T_S271;432;150
822;T_S273;432;14
823;T_S274;432;47
824;T_S252;433;50
825;T_S256;433;7
826;T_S257;433;1
827;T_S258;433;35
828;T_S259;433;2
829;T_S260;433;26
830;T_S266;433;5
831;T_S275;433;121
832;T_S256;434;121
833;T_S258;434;62
834;T_S259;434;67
835;T_S260;434;50
836;T_S264;434;4
837;T_S267;434;65
838;T_S268;434;196
839;T_S273;434;190
840;T_S274;434;75
841;T_S275;434;1
842;T_S251;444;3
843;T_S253;444;1
844;T_S255;444;8
845;T_S256;444;33
846;T_S257;444;1
847;T_S258;444;5
848;T_S259;444;50
849;T_S275;444;54
