;Code_Site;Code_CT_SC_M;Abondance
1;T_S250;102;4
2;T_S253;102;1
3;T_S258;102;2
4;T_S268;102;1
5;T_S269;103;1
6;T_S249;111;3
7;T_S250;111;1
8;T_S251;111;4
9;T_S252;111;7
10;T_S253;111;11
11;T_S254;111;10
12;T_S256;111;5
13;T_S259;111;21
14;T_S260;111;2
15;T_S261;111;2
16;T_S263;111;6
17;T_S264;111;1
18;T_S271;111;1
19;T_S273;111;2
20;T_S274;111;6
21;T_S275;111;2
22;T_S249;112;5
23;T_S250;112;6
24;T_S251;112;4
25;T_S252;112;1500
26;T_S253;112;1
27;T_S254;112;1
28;T_S258;112;1
29;T_S259;112;1
30;T_S260;112;4
31;T_S261;112;2
32;T_S262;112;2
33;T_S263;112;1
34;T_S264;112;1
35;T_S266;112;1
36;T_S268;112;1
37;T_S269;112;2
38;T_S270;112;2
39;T_S273;112;2
40;T_S250;121;2
41;T_S251;121;10
42;T_S252;121;1
43;T_S253;121;3
44;T_S254;121;6
45;T_S255;121;2
46;T_S256;121;4
47;T_S257;121;2
48;T_S258;121;14
49;T_S259;121;10
50;T_S260;121;5
51;T_S261;121;2
52;T_S262;121;2
53;T_S264;121;6
54;T_S265;121;11
55;T_S266;121;6
56;T_S267;121;3
57;T_S268;121;9
58;T_S269;121;15
59;T_S270;121;11
60;T_S271;121;7
61;T_S272;121;3
62;T_S273;121;17
63;T_S274;121;10
64;T_S275;121;5
65;T_S249;122;64
66;T_S250;122;24
67;T_S251;122;42
68;T_S252;122;85
69;T_S253;122;44
70;T_S254;122;31
71;T_S255;122;34
72;T_S256;122;42
73;T_S257;122;23
74;T_S258;122;19
75;T_S259;122;32
76;T_S260;122;33
77;T_S261;122;31
78;T_S262;122;18
79;T_S263;122;23
80;T_S264;122;46
81;T_S265;122;41
82;T_S266;122;40
83;T_S267;122;29
84;T_S268;122;35
85;T_S269;122;26
86;T_S270;122;10
87;T_S271;122;26
88;T_S272;122;38
89;T_S273;122;37
90;T_S274;122;21
91;T_S275;122;24
92;T_S249;123;4
93;T_S250;123;2
94;T_S251;123;7
95;T_S252;123;4
96;T_S253;123;4
97;T_S254;123;6
98;T_S255;123;1
99;T_S256;123;11
100;T_S257;123;9
101;T_S258;123;10
102;T_S259;123;7
103;T_S260;123;19
104;T_S261;123;14
105;T_S262;123;1
106;T_S263;123;3
107;T_S264;123;4
108;T_S266;123;14
109;T_S267;123;35
110;T_S268;123;19
111;T_S269;123;12
112;T_S270;123;26
113;T_S271;123;23
114;T_S272;123;24
115;T_S273;123;27
116;T_S274;123;16
117;T_S275;123;8
118;T_S251;131;2
119;T_S252;131;2
120;T_S256;131;2
121;T_S257;131;5
122;T_S258;131;3
123;T_S265;131;2
124;T_S266;131;2
125;T_S267;131;6
126;T_S268;131;2
127;T_S271;131;2
128;T_S273;131;3
129;T_S274;131;1
130;T_S275;131;1
131;T_S249;132;31
132;T_S250;132;6
133;T_S251;132;42
134;T_S252;132;20
135;T_S253;132;30
136;T_S254;132;26
137;T_S255;132;27
138;T_S256;132;60
139;T_S257;132;35
140;T_S258;132;40
141;T_S259;132;23
142;T_S260;132;50
143;T_S261;132;24
144;T_S262;132;11
145;T_S263;132;14
146;T_S264;132;22
147;T_S265;132;36
148;T_S266;132;40
149;T_S267;132;50
150;T_S268;132;43
151;T_S269;132;26
152;T_S270;132;42
153;T_S271;132;44
154;T_S272;132;38
155;T_S273;132;222
156;T_S274;132;64
157;T_S275;132;43
158;T_S249;133;51
159;T_S250;133;8
160;T_S251;133;49
161;T_S252;133;50
162;T_S253;133;59
163;T_S254;133;38
164;T_S255;133;51
165;T_S256;133;67
166;T_S257;133;58
167;T_S258;133;24
168;T_S259;133;27
169;T_S260;133;32
170;T_S261;133;25
171;T_S262;133;20
172;T_S263;133;28
173;T_S264;133;31
174;T_S265;133;55
175;T_S266;133;37
176;T_S267;133;48
177;T_S268;133;25
178;T_S269;133;86
179;T_S270;133;107
180;T_S271;133;149
181;T_S272;133;78
182;T_S273;133;94
183;T_S274;133;87
184;T_S275;133;45
185;T_S255;134;2
186;T_S263;134;1
187;T_S265;134;1
188;T_S266;134;1
189;T_S273;134;2
190;T_S249;142;7
191;T_S250;142;1
192;T_S251;142;21
193;T_S252;142;12
194;T_S253;142;8
195;T_S254;142;2
196;T_S255;142;3
197;T_S256;142;9
198;T_S257;142;29
199;T_S258;142;8
200;T_S259;142;8
201;T_S260;142;13
202;T_S261;142;4
203;T_S262;142;8
204;T_S263;142;4
205;T_S264;142;15
206;T_S265;142;7
207;T_S266;142;5
208;T_S267;142;7
209;T_S268;142;6
210;T_S269;142;9
211;T_S270;142;7
212;T_S271;142;7
213;T_S272;142;8
214;T_S274;142;2
215;T_S275;142;5
216;T_S250;143;1
217;T_S251;143;17
218;T_S252;143;5
219;T_S253;143;10
220;T_S254;143;6
221;T_S255;143;13
222;T_S256;143;16
223;T_S257;143;6
224;T_S258;143;15
225;T_S259;143;37
226;T_S260;143;18
227;T_S261;143;13
228;T_S262;143;1
229;T_S263;143;11
230;T_S264;143;5
231;T_S265;143;19
232;T_S266;143;7
233;T_S267;143;18
234;T_S268;143;16
235;T_S270;143;3
236;T_S271;143;5
237;T_S272;143;7
238;T_S273;143;14
239;T_S274;143;27
240;T_S275;143;10
241;T_S249;144;19
242;T_S250;144;1
243;T_S251;144;5
244;T_S253;144;14
245;T_S254;144;3
246;T_S257;144;1
247;T_S259;144;4
248;T_S260;144;1
249;T_S261;144;2
250;T_S262;144;11
251;T_S264;144;3
252;T_S266;144;2
253;T_S269;144;8
254;T_S270;144;15
255;T_S273;144;95
256;T_S274;144;3
257;T_S275;144;3
258;T_S255;152;1
259;T_S264;152;2
260;T_S249;153;4
261;T_S251;153;2
262;T_S252;153;2
263;T_S253;153;3
264;T_S254;153;3
265;T_S255;153;4
266;T_S256;153;6
267;T_S257;153;2
268;T_S258;153;2
269;T_S259;153;3
270;T_S260;153;3
271;T_S261;153;2
272;T_S262;153;5
273;T_S263;153;5
274;T_S264;153;7
275;T_S265;153;6
276;T_S266;153;5
277;T_S267;153;4
278;T_S268;153;3
279;T_S269;153;3
280;T_S270;153;2
281;T_S271;153;3
282;T_S273;153;2
283;T_S274;153;2
284;T_S275;153;7
285;T_S250;154;1
286;T_S251;154;1
287;T_S252;154;2
288;T_S260;154;1
289;T_S262;154;5
290;T_S265;154;1
291;T_S266;154;2
292;T_S269;154;1
293;T_S271;154;1
294;T_S250;162;1
295;T_S251;162;1
296;T_S264;162;2
297;T_S265;162;1
298;T_S267;162;1
299;T_S273;162;1
300;T_S251;163;2
301;T_S256;163;2
302;T_S267;163;1
303;T_S270;163;1
304;T_S271;163;1
305;T_S273;163;1
306;T_S274;163;1
307;T_S250;164;1
308;T_S251;164;2
309;T_S253;164;1
310;T_S256;164;2
311;T_S258;164;2
312;T_S261;164;1
313;T_S264;164;1
314;T_S265;164;1
315;T_S266;164;2
316;T_S268;164;1
317;T_S269;164;2
318;T_S270;164;1
319;T_S273;164;10
320;T_S274;164;2
321;T_S275;164;1
322;T_S250;200;1
323;T_S268;200;2
324;T_S266;202;1
325;T_S249;203;20
326;T_S251;203;2
327;T_S252;203;117
328;T_S253;203;3
329;T_S256;203;11
330;T_S258;203;4
331;T_S259;203;2
332;T_S260;203;5
333;T_S262;203;1
334;T_S263;203;8
335;T_S264;203;26
336;T_S266;203;1
337;T_S267;203;5
338;T_S268;203;6
339;T_S269;203;1
340;T_S271;203;6
341;T_S273;203;14
342;T_S252;212;2
343;T_S249;221;73
344;T_S250;221;26
345;T_S251;221;61
346;T_S252;221;80
347;T_S253;221;66
348;T_S254;221;50
349;T_S255;221;158
350;T_S256;221;64
351;T_S257;221;51
352;T_S258;221;120
353;T_S259;221;69
354;T_S260;221;139
355;T_S261;221;58
356;T_S262;221;14
357;T_S263;221;59
358;T_S264;221;96
359;T_S265;221;95
360;T_S266;221;71
361;T_S267;221;72
362;T_S268;221;52
363;T_S269;221;31
364;T_S270;221;56
365;T_S271;221;81
366;T_S272;221;95
367;T_S273;221;132
368;T_S274;221;37
369;T_S275;221;39
370;T_S249;222;23
371;T_S250;222;10
372;T_S251;222;13
373;T_S252;222;42
374;T_S253;222;15
375;T_S254;222;16
376;T_S255;222;5
377;T_S256;222;64
378;T_S257;222;49
379;T_S258;222;33
380;T_S259;222;65
381;T_S260;222;11
382;T_S261;222;63
383;T_S262;222;55
384;T_S263;222;33
385;T_S264;222;1025
386;T_S265;222;45
387;T_S266;222;145
388;T_S267;222;25
389;T_S268;222;15
390;T_S269;222;16
391;T_S270;222;93
392;T_S271;222;69
393;T_S272;222;163
394;T_S273;222;18
395;T_S274;222;70
396;T_S275;222;30
397;T_S249;231;2
398;T_S253;231;2
399;T_S254;231;19
400;T_S255;231;33
401;T_S256;231;30
402;T_S257;231;24
403;T_S258;231;20
