Code_Site;Code_CT_SC_M
T_S249;233
T_S249;233
T_S249;142
T_S249;232
T_S249;132
T_S249;132
T_S249;132
T_S249;132
T_S249;132
T_S249;132
T_S249;132
T_S249;132
T_S249;253
T_S249;253
T_S249;253
T_S249;253
T_S249;253
T_S249;253
T_S249;253
T_S249;253
T_S249;222
T_S249;133
T_S249;133
T_S249;133
T_S249;133
T_S249;133
T_S249;133
T_S249;133
T_S249;133
T_S249;133
T_S249;133
T_S249;133
T_S249;133
T_S249;133
T_S249;144
T_S249;144
T_S249;144
T_S249;144
T_S249;144
T_S249;133
T_S249;133
T_S249;133
T_S249;133
T_S249;133
T_S249;132
T_S249;132
T_S249;132
T_S249;132
T_S249;122
T_S249;132
T_S249;132
T_S249;132
T_S249;132
T_S249;132
T_S249;132
T_S249;132
T_S249;122
T_S249;122
T_S249;122
T_S249;122
T_S249;122
T_S249;122
T_S249;122
T_S249;122
T_S249;122
T_S249;122
T_S249;122
T_S249;132
T_S249;132
T_S249;132
T_S249;132
T_S249;142
T_S249;432
T_S249;432
T_S249;432
T_S249;432
T_S249;432
T_S249;422
T_S249;422
T_S249;422
T_S249;422
T_S249;422
T_S249;331
T_S249;422
T_S249;321
T_S249;321
T_S249;321
T_S249;321
T_S249;321
T_S249;321
T_S249;321
T_S249;321
T_S249;321
T_S249;321
T_S249;321
T_S249;321
T_S249;321
T_S249;321
T_S249;321
T_S249;321
T_S249;321
T_S249;321
T_S249;321
T_S249;321
T_S249;321
T_S249;321
T_S249;321
T_S249;321
T_S249;321
T_S249;321
T_S249;321
T_S249;321
T_S249;321
T_S249;322
T_S249;322
T_S249;322
T_S249;322
T_S249;322
T_S249;322
T_S249;322
T_S249;322
T_S249;322
T_S249;322
T_S249;422
T_S249;422
T_S249;422
T_S249;422
T_S249;422
T_S249;422
T_S249;422
T_S249;402
T_S249;402
T_S249;402
T_S249;402
T_S249;321
T_S249;321
T_S249;331
T_S249;244
T_S249;244
T_S249;244
T_S249;133
T_S249;133
T_S249;133
T_S249;153
T_S249;142
T_S249;142
T_S249;142
T_S249;142
T_S249;132
T_S249;132
T_S249;122
T_S249;122
T_S249;122
T_S249;122
T_S249;122
T_S249;122
T_S249;122
T_S249;122
T_S249;122
T_S249;122
T_S249;122
T_S249;122
T_S249;122
T_S249;122
T_S249;122
T_S249;122
T_S249;122
T_S249;122
T_S249;153
T_S249;153
T_S249;153
T_S249;123
T_S249;123
T_S249;123
T_S249;133
T_S249;133
T_S249;133
T_S249;133
T_S249;133
T_S249;133
T_S249;133
T_S249;133
T_S249;133
T_S249;133
T_S249;133
T_S249;133
T_S249;133
T_S249;133
T_S249;133
T_S249;303
T_S249;303
T_S249;303
T_S249;303
T_S249;303
T_S249;354
T_S249;354
T_S249;354
T_S249;354
T_S249;354
T_S249;354
T_S249;354
T_S249;343
T_S249;343
T_S249;343
T_S249;343
T_S249;343
T_S249;343
T_S249;343
T_S249;343
T_S249;343
T_S249;343
T_S249;343
T_S249;343
T_S249;354
T_S249;354
T_S249;354
T_S249;354
T_S249;354
T_S249;343
T_S249;343
T_S249;322
T_S249;111
T_S249;111
T_S249;111
T_S249;122
T_S249;122
T_S249;112
T_S249;112
T_S249;112
T_S249;112
T_S249;122
T_S249;122
T_S249;343
T_S249;343
T_S249;343
T_S249;343
T_S249;343
T_S249;343
T_S249;343
T_S249;343
T_S249;343
T_S249;343
T_S249;343
T_S249;343
T_S249;354
T_S249;332
T_S249;332
T_S249;332
T_S249;332
T_S249;332
T_S249;332
T_S249;332
T_S249;332
T_S249;332
T_S249;332
T_S249;332
T_S249;353
T_S249;342
T_S249;342
T_S249;342
T_S249;342
T_S249;342
T_S249;332
T_S249;332
T_S249;333
T_S249;333
T_S249;333
T_S249;333
T_S249;333
T_S249;333
T_S249;112
T_S250;253
T_S250;253
T_S250;253
T_S250;253
T_S250;253
T_S250;253
T_S250;402
T_S250;222
T_S250;164
T_S250;143
T_S250;133
T_S250;133
T_S250;133
T_S250;133
T_S250;154
T_S250;144
T_S250;132
T_S250;132
T_S250;132
T_S250;132
T_S250;421
T_S250;422
T_S250;422
T_S250;422
T_S250;321
T_S250;411
T_S250;411
T_S250;411
T_S250;422
T_S250;422
T_S250;321
T_S250;321
T_S250;321
T_S250;321
T_S250;321
T_S250;321
T_S250;321
T_S250;321
T_S250;321
T_S250;321
T_S250;321
T_S250;321
T_S250;322
T_S250;322
T_S250;322
T_S250;322
T_S250;322
T_S250;322
T_S250;322
T_S250;422
T_S250;422
T_S250;244
T_S250;244
T_S250;244
T_S250;142
T_S250;162
T_S250;132
T_S250;132
T_S250;122
T_S250;122
T_S250;122
T_S250;122
T_S250;122
T_S250;122
T_S250;122
T_S250;122
T_S250;122
T_S250;122
T_S250;122
T_S250;122
T_S250;122
T_S250;122
T_S250;102
T_S250;123
T_S250;123
T_S250;133
T_S250;133
T_S250;133
T_S250;343
T_S250;343
T_S250;343
T_S250;343
T_S250;343
T_S250;343
T_S250;343
T_S250;122
T_S250;122
T_S250;112
T_S250;112
T_S250;112
T_S250;111
T_S250;102
T_S250;102
T_S250;121
T_S250;300
T_S250;343
T_S250;343
T_S250;343
T_S250;343
T_S250;343
T_S250;343
T_S250;343
T_S250;332
T_S250;332
T_S250;332
T_S250;333
T_S251;163
T_S251;163
T_S251;232
T_S251;142
T_S251;142
T_S251;142
T_S251;242
T_S251;132
T_S251;132
T_S251;253
T_S251;253
T_S251;253
T_S251;253
T_S251;253
T_S251;253
T_S251;253
T_S251;253
T_S251;253
T_S251;154
T_S251;164
T_S251;164
T_S251;444
T_S251;153
T_S251;143
T_S251;143
T_S251;143
T_S251;143
T_S251;143
T_S251;143
T_S251;133
T_S251;133
T_S251;133
T_S251;133
T_S251;244
T_S251;244
T_S251;144
T_S251;144
T_S251;133
T_S251;133
T_S251;133
T_S251;133
T_S251;133
T_S251;133
T_S251;133
T_S251;133
T_S251;133
T_S251;122
T_S251;122
T_S251;122
T_S251;422
T_S251;422
T_S251;422
T_S251;142
T_S251;142
T_S251;132
T_S251;122
T_S251;122
T_S251;122
T_S251;122
T_S251;122
T_S251;122
T_S251;122
T_S251;122
T_S251;122
T_S251;122
T_S251;122
T_S251;122
T_S251;122
T_S251;131
T_S251;131
T_S251;122
T_S251;122
T_S251;122
T_S251;122
T_S251;122
T_S251;122
T_S251;122
T_S251;122
T_S251;132
T_S251;132
T_S251;132
T_S251;132
T_S251;132
T_S251;132
T_S251;132
T_S251;132
T_S251;132
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;142
T_S251;142
T_S251;422
T_S251;422
T_S251;422
T_S251;421
T_S251;421
T_S251;421
T_S251;421
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;321
T_S251;412
T_S251;412
T_S251;412
T_S251;412
T_S251;412
T_S251;412
T_S251;421
T_S251;421
T_S251;421
T_S251;421
T_S251;421
T_S251;421
T_S251;421
T_S251;421
T_S251;422
T_S251;422
T_S251;422
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;321
T_S251;322
T_S251;322
T_S251;322
T_S251;322
T_S251;322
T_S251;412
T_S251;412
T_S251;412
T_S251;412
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;422
T_S251;402
T_S251;402
T_S251;322
T_S251;122
T_S251;123
T_S251;123
T_S251;123
T_S251;123
T_S251;132
T_S251;132
T_S251;132
T_S251;153
T_S251;142
T_S251;142
T_S251;142
T_S251;142
T_S251;142
T_S251;143
T_S251;143
T_S251;143
T_S251;143
T_S251;143
T_S251;143
T_S251;142
T_S251;142
T_S251;142
T_S251;142
T_S251;142
T_S251;142
T_S251;142
T_S251;162
T_S251;243
T_S251;422
T_S251;422
T_S251;422
T_S251;132
T_S251;132
T_S251;132
T_S251;132
T_S251;132
T_S251;132
T_S251;132
T_S251;143
T_S251;143
T_S251;132
T_S251;132
T_S251;132
T_S251;132
T_S251;132
T_S251;132
T_S251;122
T_S251;122
T_S251;122
T_S251;122
T_S251;122
T_S251;121
T_S251;121
T_S251;121
T_S251;121
T_S251;121
T_S251;123
T_S251;133
T_S251;133
T_S251;133
T_S251;133
T_S251;133
T_S251;133
T_S251;133
T_S251;133
T_S251;133
T_S251;133
T_S251;133
T_S251;133
T_S251;303
T_S251;303
T_S251;353
T_S251;353
T_S251;354
T_S251;354
T_S251;343
T_S251;343
T_S251;343
T_S251;343
T_S251;354
T_S251;354
T_S251;354
T_S251;343
T_S251;354
T_S251;354
T_S251;354
T_S251;354
T_S251;354
T_S251;354
T_S251;354
T_S251;354
T_S251;354
T_S251;354
T_S251;354
T_S251;354
T_S251;354
T_S251;354
T_S251;354
T_S251;354
T_S251;342
T_S251;343
T_S251;343
T_S251;343
T_S251;343
T_S251;343
T_S251;343
T_S251;111
T_S251;111
T_S251;111
T_S251;121
T_S251;121
T_S251;344
T_S251;344
T_S251;344
T_S251;344
T_S251;343
T_S251;343
T_S251;343
T_S251;354
T_S251;354
T_S251;332
T_S251;332
T_S251;332
T_S251;332
T_S251;332
T_S251;332
T_S251;332
T_S251;332
T_S251;332
T_S251;332
T_S251;332
T_S251;332
T_S251;332
T_S251;332
T_S251;332
T_S251;332
T_S251;343
