;site;poissons;Abondance
301;T_S274;3470;14
305;T_S251;3472;3
306;T_S258;3472;5
307;T_S259;3472;50
308;T_S275;3472;53
310;T_S256;3474;20
314;T_S273;3476;390
315;T_S267;3486;35
316;T_S268;3486;14
317;T_S274;3486;12
322;T_S267;3487;30
323;T_S268;3487;50
327;T_S256;3490;120
328;T_S258;3490;32
329;T_S259;3490;65
330;T_S260;3490;50
331;T_S268;3490;132
332;T_S273;3490;190
333;T_S274;3490;48
335;T_S251;3532;1
338;T_S251;3533;2
339;T_S253;3533;1
340;T_S254;3533;1
341;T_S255;3533;1
343;T_S260;3538;1
344;T_S266;3538;1
345;T_S267;3538;1
346;T_S273;3538;1
353;T_S259;3560;1
354;T_S267;3560;2
355;T_S273;3560;169
356;T_S274;3560;4
359;T_S250;3576;1
362;T_S252;3578;1
367;T_S251;3592;5
368;T_S254;3592;2
369;T_S260;3592;2
370;T_S266;3592;3
371;T_S270;3592;1
372;T_S275;3592;2
373;T_S260;3596;1
374;T_S266;3596;2
386;T_S250;3614;1
387;T_S251;3614;2
388;T_S253;3614;1
389;T_S256;3614;2
390;T_S257;3614;1
391;T_S258;3614;1
392;T_S259;3614;4
393;T_S261;3614;4
394;T_S262;3614;1
395;T_S265;3614;3
396;T_S268;3614;1
397;T_S270;3614;2
398;T_S273;3614;4
399;T_S274;3614;9
400;T_S275;3614;2
414;T_S249;3656;16
415;T_S250;3656;4
416;T_S251;3656;4
417;T_S252;3656;9
418;T_S253;3656;6
419;T_S254;3656;6
420;T_S255;3656;13
421;T_S256;3656;4
422;T_S257;3656;7
423;T_S258;3656;1
424;T_S259;3656;6
425;T_S261;3656;6
426;T_S262;3656;1
427;T_S263;3656;9
428;T_S264;3656;13
429;T_S265;3656;11
430;T_S266;3656;4
431;T_S269;3656;8
432;T_S270;3656;8
433;T_S273;3656;6
434;T_S274;3656;2
435;T_S275;3656;1
441;T_S249;3670;17
442;T_S253;3670;11
443;T_S254;3670;2
444;T_S261;3670;1
445;T_S262;3670;10
446;T_S264;3670;3
447;T_S269;3670;8
448;T_S270;3670;15
449;T_S273;3670;5
451;T_S260;3674;1
452;T_S273;3674;90
454;T_S255;3680;2
455;T_S263;3680;1
456;T_S265;3680;1
457;T_S266;3680;1
458;T_S273;3680;2
467;T_S250;3682;1
468;T_S252;3682;2
469;T_S262;3682;5
470;T_S265;3682;1
474;T_S259;3686;2
475;T_S268;3686;1
476;T_S269;3686;1
477;T_S274;3686;1
479;T_S251;3687;2
480;T_S252;3687;1
481;T_S255;3687;1
482;T_S257;3687;7
483;T_S259;3687;1
484;T_S261;3687;1
485;T_S265;3687;2
486;T_S266;3687;1
487;T_S267;3687;2
488;T_S269;3687;2
489;T_S271;3687;1
490;T_S272;3687;2
500;T_S249;3688;2
501;T_S251;3688;5
502;T_S253;3688;3
503;T_S259;3688;1
504;T_S261;3688;1
505;T_S266;3688;2
506;T_S274;3688;2
507;T_S250;3690;1
508;T_S254;3690;1
509;T_S262;3690;1
518;T_S261;3694;2
519;T_S269;3694;2
520;T_S270;3694;5
521;T_S273;3694;5
542;T_S249;3698;6
543;T_S251;3698;13
544;T_S252;3698;18
545;T_S253;3698;8
546;T_S254;3698;2
547;T_S255;3698;7
548;T_S256;3698;13
549;T_S257;3698;5
550;T_S259;3698;2
551;T_S260;3698;6
552;T_S261;3698;1
553;T_S262;3698;2
554;T_S263;3698;3
555;T_S264;3698;3
556;T_S265;3698;6
557;T_S266;3698;3
558;T_S267;3698;5
559;T_S269;3698;5
560;T_S270;3698;8
561;T_S271;3698;3
562;T_S272;3698;9
563;T_S273;3698;9
564;T_S274;3698;2
565;T_S275;3698;4
566;T_S253;3716;1
567;T_S266;3734;1
568;T_S273;3734;1
569;T_S275;3749;2
571;T_S275;3760;3
579;T_S249;3776;7
580;T_S250;3776;3
581;T_S252;3776;2
582;T_S253;3776;1
583;T_S257;3776;1
584;T_S261;3776;1
585;T_S263;3776;3
586;T_S266;3776;1
587;T_S271;3776;2
599;T_S251;3778;3
600;T_S253;3778;7
601;T_S256;3778;7
602;T_S257;3778;2
603;T_S258;3778;7
604;T_S259;3778;2
605;T_S260;3778;10
606;T_S261;3778;2
607;T_S265;3778;2
608;T_S266;3778;5
609;T_S267;3778;3
610;T_S268;3778;1
611;T_S273;3778;6
612;T_S274;3778;1
613;T_S275;3778;4
617;T_S257;3780;2
618;T_S268;3780;1
631;T_S249;3782;1
632;T_S252;3782;8
633;T_S254;3782;1
634;T_S256;3782;2
635;T_S257;3782;1
636;T_S260;3782;1
637;T_S262;3782;2
638;T_S265;3782;2
639;T_S267;3782;2
640;T_S268;3782;2
641;T_S269;3782;11
642;T_S270;3782;4
643;T_S271;3782;8
644;T_S272;3782;13
645;T_S273;3782;1
646;T_S274;3782;2
648;T_S249;3784;4
649;T_S255;3784;1
650;T_S256;3784;4
651;T_S257;3784;2
652;T_S262;3784;1
653;T_S263;3784;1
654;T_S265;3784;1
655;T_S266;3784;1
656;T_S268;3784;1
657;T_S275;3784;3
659;T_S249;3786;3
660;T_S257;3786;3
661;T_S258;3786;1
662;T_S262;3786;1
663;T_S267;3786;1
669;T_S251;3790;5
670;T_S255;3790;1
671;T_S263;3790;1
672;T_S264;3790;2
673;T_S265;3790;1
674;T_S268;3790;2
675;T_S271;3790;2
676;T_S272;3790;2
677;T_S273;3790;1
678;T_S275;3790;3
682;T_S251;3792;2
683;T_S253;3792;4
684;T_S254;3792;1
685;T_S255;3792;1
686;T_S256;3792;2
687;T_S257;3792;1
688;T_S260;3792;2
689;T_S264;3792;1
690;T_S266;3792;3
691;T_S275;3792;1
698;T_S249;3794;2
699;T_S251;3794;1
700;T_S253;3794;2
701;T_S256;3794;5
702;T_S257;3794;3
703;T_S259;3794;1
704;T_S262;3794;1
705;T_S264;3794;1
706;T_S268;3794;2
714;T_S251;3796;1
715;T_S255;3796;3
716;T_S256;3796;7
717;T_S257;3796;11
718;T_S260;3796;3
719;T_S264;3796;3
720;T_S265;3796;1
721;T_S266;3796;2
722;T_S268;3796;1
723;T_S275;3796;1
725;T_S264;3798;1
728;T_S256;3800;1
729;T_S257;3800;3
730;T_S258;3800;4
739;T_S251;3802;4
740;T_S259;3802;6
741;T_S267;3802;2
742;T_S268;3802;6
743;T_S273;3802;2
744;T_S275;3802;1
760;T_S249;3804;6
761;T_S251;3804;10
762;T_S253;3804;7
763;T_S254;3804;5
764;T_S255;3804;2
765;T_S256;3804;4
766;T_S257;3804;3
767;T_S260;3804;2
768;T_S261;3804;2
769;T_S262;3804;4
770;T_S263;3804;2
771;T_S264;3804;4
772;T_S265;3804;6
773;T_S266;3804;4
774;T_S267;3804;6
775;T_S268;3804;5
776;T_S269;3804;5
777;T_S270;3804;3
778;T_S271;3804;1
779;T_S272;3804;9
780;T_S275;3804;3
789;T_S258;3806;2
790;T_S260;3806;2
791;T_S266;3806;1
792;T_S267;3806;3
793;T_S268;3806;2
794;T_S271;3806;2
795;T_S268;3808;2
797;T_S253;3809;1
798;T_S260;3809;1
800;T_S275;3810;1
810;T_S251;3812;2
811;T_S252;3812;2
812;T_S256;3812;2
813;T_S257;3812;5
814;T_S258;3812;2
815;T_S265;3812;2
816;T_S266;3812;2
817;T_S267;3812;6
818;T_S268;3812;2
819;T_S271;3812;2
820;T_S273;3812;3
821;T_S274;3812;1
822;T_S275;3812;1
844;T_S249;3814;16
845;T_S251;3814;9
846;T_S252;3814;14
847;T_S253;3814;11
848;T_S254;3814;3
849;T_S255;3814;6
850;T_S256;3814;13
851;T_S257;3814;2
852;T_S258;3814;4
853;T_S259;3814;16
854;T_S260;3814;11
855;T_S261;3814;7
856;T_S262;3814;1
857;T_S263;3814;8
858;T_S264;3814;6
859;T_S265;3814;14
860;T_S266;3814;12
861;T_S267;3814;6
862;T_S268;3814;11
863;T_S269;3814;2
864;T_S271;3814;6
865;T_S272;3814;3
866;T_S273;3814;11
867;T_S274;3814;13
868;T_S275;3814;6
873;T_S254;3816;1
874;T_S268;3816;3
881;T_S251;3818;2
882;T_S256;3818;1
883;T_S260;3818;1
884;T_S266;3818;6
885;T_S267;3818;2
886;T_S268;3818;6
887;T_S271;3818;3
888;T_S272;3818;2
889;T_S275;3818;2
909;T_S249;3819;2
910;T_S251;3819;9
911;T_S253;3819;4
912;T_S255;3819;7
913;T_S256;3819;8
914;T_S257;3819;5
915;T_S258;3819;8
916;T_S260;3819;8
917;T_S261;3819;1
918;T_S262;3819;1
919;T_S265;3819;8
920;T_S266;3819;3
921;T_S267;3819;5
922;T_S268;3819;2
923;T_S269;3819;2
924;T_S270;3819;4
925;T_S271;3819;5
926;T_S272;3819;4
927;T_S274;3819;6
928;T_S268;3838;1
936;T_S249;3852;1
937;T_S250;3852;1
938;T_S252;3852;3
939;T_S254;3852;1
940;T_S255;3852;2
941;T_S259;3852;2
942;T_S260;3852;1
943;T_S263;3852;1
944;T_S265;3852;2
945;T_S266;3852;2
946;T_S273;3852;1
947;T_S274;3852;4
950;T_S249;3854;1
951;T_S253;3854;4
952;T_S256;3854;2
954;T_S253;3858;1
960;T_S258;3860;1
961;T_S261;3860;3
962;T_S265;3860;2
963;T_S267;3860;2
964;T_S274;3860;2
965;T_S251;3878;3
966;T_S253;3878;4
967;T_S259;3878;2
968;T_S261;3878;4
969;T_S263;3878;4
970;T_S264;3878;20
971;T_S265;3878;6
972;T_S273;3878;2
973;T_S251;3880;4
974;T_S259;3880;11
975;T_S261;3880;2
976;T_S264;3880;1
977;T_S268;3880;11
978;T_S273;3880;4
979;T_S251;3884;8
980;T_S253;3884;2
981;T_S254;3884;1
982;T_S256;3884;3
983;T_S257;3884;5
984;T_S258;3884;4
985;T_S259;3884;3
986;T_S261;3884;3
987;T_S263;3884;1
988;T_S264;3884;1
989;T_S266;3884;1
990;T_S267;3884;2
991;T_S268;3884;11
992;T_S269;3884;8
993;T_S270;3884;20
994;T_S271;3884;19
995;T_S272;3884;15
996;T_S273;3884;6
997;T_S274;3884;15
998;T_S275;3884;2
999;T_S251;3888;7
1000;T_S253;3888;3
1001;T_S261;3888;1
1002;T_S263;3888;2
1003;T_S264;3888;5
1004;T_S265;3888;3
1005;T_S257;3890;1
1007;T_S249;3918;1
1008;T_S253;3918;1
1009;T_S256;3918;1
1010;T_S271;3918;1
1011;T_S275;3918;1
1015;T_S253;3920;1
1016;T_S257;3920;1
1020;T_S251;3922;2
1021;T_S257;3922;1
1022;T_S258;3922;1
1023;T_S262;3922;1
1024;T_S274;3922;1
1026;T_S258;3924;1
1027;T_S249;3954;7
1028;T_S253;3954;21
1029;T_S257;3954;17
1030;T_S260;3954;17
1031;T_S265;3954;32
1032;T_S266;3954;10
1033;T_S267;3954;66
1034;T_S268;3954;13
1035;T_S269;3954;1
1036;T_S270;3954;2
1037;T_S271;3954;150
1038;T_S273;3954;13
1039;T_S274;3954;45
1040;T_S257;3958;13
1041;T_S256;3960;7
1042;T_S257;3960;1
1043;T_S258;3960;35
1044;T_S259;3960;2
1045;T_S260;3960;26
1046;T_S266;3960;5
1047;T_S275;3960;121
1048;T_S251;3978;5
1049;T_S252;3978;5
1050;T_S253;3978;22
1051;T_S254;3978;17
1052;T_S255;3978;48
1053;T_S256;3978;8
1054;T_S257;3978;9
1055;T_S258;3978;1
1056;T_S259;3978;59
1057;T_S260;3978;38
1058;T_S261;3978;106
1059;T_S262;3978;1
1060;T_S263;3978;8
1061;T_S264;3978;51
1062;T_S265;3978;81
1063;T_S266;3978;51
1064;T_S273;3978;12
1065;T_S275;3978;6
1066;T_S255;3980;8
1067;T_S258;3980;2
1068;T_S259;3980;33
1069;T_S260;3980;8
1070;T_S261;3980;9
1071;T_S263;3980;3
1072;T_S264;3980;1
1073;T_S265;3980;8
1074;T_S266;3980;3
1075;T_S273;3980;4
1076;T_S275;3980;3
1077;T_S251;3990;2
1078;T_S253;3990;6
1079;T_S255;3990;5
1080;T_S257;3990;5
1081;T_S258;3990;1
1082;T_S260;3990;3
1083;T_S267;3990;3
1084;T_S268;3990;13
1085;T_S270;3990;5
1086;T_S272;3992;2
1087;T_S275;3992;2
1088;T_S251;3994;2
1089;T_S260;3994;5
1090;T_S268;3994;7
1091;T_S275;3994;4
1092;T_S265;4004;10
1093;T_S258;4013;104
1094;T_S259;4013;18
1095;T_S260;4013;16
1096;T_S268;4013;20
1097;T_S269;4013;8
1098;T_S270;4013;9
1099;T_S273;4013;245
1100;T_S274;4013;32
1101;T_S259;4014;9
1102;T_S268;4014;6
1103;T_S250;4016;20
1104;T_S251;4016;4
1105;T_S252;4016;158
1106;T_S254;4016;6
1107;T_S255;4016;100
1108;T_S257;4016;2
1109;T_S258;4016;565
1110;T_S259;4016;32
1111;T_S260;4016;6
1112;T_S262;4016;73
1113;T_S263;4016;85
1114;T_S264;4016;1068
1115;T_S265;4016;7
1116;T_S266;4016;12
1117;T_S268;4016;30
1118;T_S273;4016;629
1119;T_S275;4016;60
1120;T_S250;4018;1
1121;T_S267;4018;73
1122;T_S268;4018;4
1123;T_S267;4020;16
1124;T_S268;4020;11
1125;T_S272;4020;110
1126;T_S272;4032;5
1127;T_S272;4038;2
1128;T_S273;4038;40
1129;T_S258;4042;43
1130;T_S259;4042;6
1131;T_S266;4042;1
1132;T_S267;4042;280
1133;T_S268;4042;371
1134;T_S271;4042;104
1135;T_S272;4042;39
1136;T_S273;4042;9
1137;T_S274;4042;25
1138;T_S275;4042;14
1139;T_S251;4052;2
1140;T_S253;4052;3
1141;T_S256;4052;24
1142;T_S258;4052;1329
1143;T_S259;4052;593
1144;T_S260;4052;13
1145;T_S261;4052;21
1146;T_S267;4052;9
1147;T_S268;4052;1
1148;T_S270;4052;4
1149;T_S271;4052;23
1150;T_S272;4052;190
1151;T_S273;4052;25
1152;T_S274;4052;9
1153;T_S275;4052;100
1154;T_S267;4054;207
1155;T_S268;4054;24
1156;T_S271;4054;209
1157;T_S272;4054;1021
1158;T_S258;4056;30
1159;T_S267;4056;25
1160;T_S271;4056;2
1161;T_S271;4058;217
1162;T_S272;4058;231
1163;T_S260;4059;15
1164;T_S271;4059;6
1165;T_S272;4059;6
1166;T_S262;4064;2
1167;T_S269;4064;3
1168;T_S249;4066;6
1169;T_S250;4066;3
1170;T_S251;4066;35
1171;T_S253;4066;7
1172;T_S254;4066;8
1173;T_S256;4066;21
1174;T_S257;4066;12
1175;T_S258;4066;1
1176;T_S259;4066;9
1177;T_S261;4066;5
1178;T_S262;4066;25
1179;T_S263;4066;3
1180;T_S264;4066;2
1181;T_S266;4066;8
1182;T_S271;4066;75
1183;T_S272;4066;54
1184;T_S273;4066;22
1185;T_S274;4066;35
1186;T_S269;4070;2
1187;T_S270;4070;5
1188;T_S271;4070;3
1189;T_S272;4070;1
1190;T_S250;4072;1
1191;T_S251;4072;1
1192;T_S253;4072;1
1193;T_S254;4072;1
1194;T_S256;4072;24
1195;T_S257;4072;24
1196;T_S258;4072;3
1197;T_S260;4072;5
1198;T_S262;4072;1
1199;T_S266;4072;23
1200;T_S267;4072;9
1201;T_S268;4072;8
1202;T_S269;4072;3
1203;T_S270;4072;3
1204;T_S271;4072;21
1205;T_S272;4072;22
1206;T_S273;4072;1
1207;T_S274;4072;7
1208;T_S275;4072;5
1209;T_S251;4074;18
1210;T_S252;4074;3
1211;T_S253;4074;42
1212;T_S254;4074;3
1213;T_S255;4074;11
1214;T_S256;4074;1
1215;T_S259;4074;63
1216;T_S261;4074;16
1217;T_S263;4074;18
1218;T_S264;4074;20
1219;T_S265;4074;2
1220;T_S250;4090;15
1221;T_S252;4090;117
1222;T_S254;4090;74
1223;T_S255;4090;91
1224;T_S259;4090;36
1225;T_S261;4090;82
1226;T_S262;4090;55
1227;T_S263;4090;26
1228;T_S264;4090;51
1229;T_S265;4090;182
1230;T_S251;4094;45
1231;T_S256;4094;20
1232;T_S257;4094;64
1233;T_S258;4094;2
1234;T_S259;4094;74
1235;T_S271;4094;21
1236;T_S272;4094;17
1237;T_S273;4094;13
1238;T_S275;4094;7
1239;T_S251;4096;15
1240;T_S253;4096;3
1241;T_S258;4096;5
1242;T_S268;4096;5
1243;T_S275;4096;18
1244;T_S249;4099;1
1245;T_S273;4099;2
1246;T_S251;4112;320
1247;T_S253;4112;163
1248;T_S254;4112;4
1249;T_S256;4112;303
1250;T_S257;4112;30
1251;T_S258;4112;420
1252;T_S259;4112;240
1253;T_S260;4112;5
1254;T_S266;4112;235
1255;T_S275;4112;43
1256;T_S249;4115;1
1257;T_S250;4115;9
1258;T_S263;4115;18
1259;T_S264;4115;1
1260;T_S266;4115;55
1261;T_S267;4115;50
1262;T_S274;4115;24
1263;T_S275;4115;900
1264;T_S253;4119;80
1265;T_S256;4119;45
1266;T_S254;4121;2
1267;T_S256;4121;6
1268;T_S257;4121;6
1269;T_S259;4121;2
1270;T_S260;4121;2
1271;T_S261;4121;4
1272;T_S263;4121;1
1273;T_S264;4121;1
1274;T_S266;4121;8
1275;T_S275;4121;7
1276;T_S251;4122;16
1277;T_S253;4122;22
1278;T_S254;4122;1
1279;T_S255;4122;1
1280;T_S257;4122;2
1281;T_S258;4122;5
1282;T_S259;4122;22
1283;T_S260;4122;48
1284;T_S261;4122;35
1285;T_S264;4122;1
1286;T_S266;4122;1
1287;T_S269;4122;1
1288;T_S275;4122;6
1289;T_S249;4124;2
1290;T_S250;4124;4
1291;T_S256;4135;5
1292;T_S257;4135;6
1293;T_S258;4135;32
1294;T_S260;4135;9
1295;T_S264;4135;1
1296;T_S266;4135;7
1297;T_S267;4135;7
1298;T_S268;4135;4
1299;T_S271;4135;5
1300;T_S272;4135;8
1301;T_S273;4135;11
1302;T_S274;4135;8
1303;T_S258;4136;4
1304;T_S260;4136;1
1305;T_S264;4136;1
1306;T_S268;4136;5
1307;T_S274;4136;1
1308;T_S251;4138;14
1309;T_S253;4138;14
1310;T_S254;4138;1
1311;T_S256;4138;25
1312;T_S257;4138;5
1313;T_S258;4138;71
1314;T_S259;4138;26
1315;T_S260;4138;73
1316;T_S261;4138;3
1317;T_S264;4138;1
1318;T_S266;4138;10
1319;T_S267;4138;1
1320;T_S268;4138;2
1321;T_S270;4138;1
1322;T_S273;4138;10
1323;T_S274;4138;7
1324;T_S275;4138;24
1325;T_S249;4147;12
1326;T_S250;4147;2
1327;T_S252;4147;4
1328;T_S253;4147;1
1329;T_S255;4147;1
1330;T_S260;4147;1
1331;T_S262;4147;1
1332;T_S263;4147;3
1333;T_S264;4147;19
1334;T_S265;4147;9
1335;T_S267;4147;3
1336;T_S268;4147;8
1337;T_S269;4147;15
1338;T_S270;4147;25
1339;T_S271;4147;35
1340;T_S272;4147;30
1341;T_S249;4148;57
1342;T_S250;4148;19
1343;T_S251;4148;8
1344;T_S252;4148;67
1345;T_S253;4148;9
1346;T_S254;4148;26
1347;T_S255;4148;6
1348;T_S261;4148;4
1349;T_S262;4148;9
1350;T_S263;4148;3
1351;T_S264;4148;20
1352;T_S265;4148;4
1353;T_S266;4148;7
1354;T_S269;4148;1
1355;T_S270;4148;7
1356;T_S272;4148;18
1357;T_S273;4148;2
1358;T_S275;4148;1
1359;T_S249;4150;10
1360;T_S251;4150;1
1361;T_S252;4150;12
1362;T_S253;4150;8
1363;T_S254;4150;1
1364;T_S255;4150;5
1365;T_S257;4150;6
1366;T_S259;4150;56
1367;T_S261;4150;56
1368;T_S263;4150;7
1369;T_S264;4150;21
1370;T_S265;4150;29
1371;T_S273;4150;2
1372;T_S274;4150;10
1373;T_S275;4150;1
1374;T_S251;4152;11
1375;T_S253;4152;3
1376;T_S254;4152;2
1377;T_S256;4152;57
1378;T_S257;4152;40
1379;T_S258;4152;31
1380;T_S260;4152;6
1381;T_S261;4152;4
1382;T_S262;4152;48
1383;T_S263;4152;18
1384;T_S265;4152;16
1385;T_S266;4152;137
1386;T_S267;4152;23
1387;T_S268;4152;5
1388;T_S269;4152;6
1389;T_S270;4152;15
1390;T_S271;4152;59
1391;T_S272;4152;155
1392;T_S273;4152;11
1393;T_S274;4152;55
1394;T_S275;4152;29
1395;T_S260;4154;54
1396;T_S264;4154;11
1397;T_S267;4154;24
1398;T_S268;4154;15
1399;T_S271;4154;22
1400;T_S272;4154;11
1401;T_S249;4155;12
1402;T_S250;4155;10
1403;T_S252;4155;30
1404;T_S253;4155;3
1405;T_S254;4155;12
1406;T_S262;4155;6
1407;T_S263;4155;3
1408;T_S264;4155;3
1409;T_S266;4155;4
1410;T_S269;4155;8
1411;T_S270;4155;77
1412;T_S271;4155;1
1413;T_S272;4155;1
1414;T_S273;4155;1
1415;T_S251;4156;160
1416;T_S253;4156;7
1417;T_S256;4156;37
1418;T_S257;4156;28
1419;T_S262;4156;14
1420;T_S263;4156;37
1421;T_S264;4156;8
1422;T_S266;4156;12
1423;T_S268;4156;2
1424;T_S269;4156;10
1425;T_S270;4156;2
1426;T_S271;4156;113
1427;T_S272;4156;48
1428;T_S273;4156;2
1429;T_S275;4156;15
1430;T_S251;4158;102
1431;T_S253;4158;51
1432;T_S256;4158;156
1433;T_S257;4158;130
1434;T_S258;4158;202
1435;T_S259;4158;100
1436;T_S260;4158;91
1437;T_S261;4158;43
1438;T_S266;4158;58
1439;T_S267;4158;46
1440;T_S268;4158;314
1441;T_S273;4158;9
1442;T_S274;4158;8
1443;T_S275;4158;909
1444;T_S254;4160;46
1445;T_S263;4160;83
1446;T_S264;4160;59
1447;T_S265;4160;7
1448;T_S270;4160;13
1449;T_S273;4160;1
1450;T_S275;4160;30
1451;T_S253;4161;4
1452;T_S256;4161;2
1453;T_S259;4161;140
1454;T_S260;4161;20
1455;T_S261;4161;23
1456;T_S264;4161;6
1457;T_S267;4161;35
1458;T_S268;4161;28
1459;T_S256;4162;5
1460;T_S258;4162;37
1461;T_S259;4162;1
1462;T_S260;4162;75
1463;T_S261;4162;14
1464;T_S267;4162;41
1465;T_S268;4162;57
1466;T_S271;4162;1
1467;T_S249;4172;12
1468;T_S250;4172;4
1469;T_S251;4172;242
1470;T_S252;4172;86
1471;T_S253;4172;113
1472;T_S254;4172;80
1473;T_S255;4172;116
1474;T_S256;4172;30
1475;T_S257;4172;29
1476;T_S258;4172;65
1477;T_S259;4172;544
1478;T_S260;4172;25
1479;T_S261;4172;138
1480;T_S262;4172;76
1481;T_S263;4172;108
1482;T_S264;4172;79
1483;T_S265;4172;90
1484;T_S266;4172;80
1485;T_S273;4172;126
1486;T_S274;4172;20
1487;T_S275;4172;171
1488;T_S263;4174;2707
1489;T_S264;4174;1803
1490;T_S265;4174;1580
1491;T_S249;4176;14
1492;T_S251;4176;3
1493;T_S253;4176;3
1494;T_S254;4176;10
1495;T_S255;4176;18
1496;T_S256;4176;50
1497;T_S257;4176;9
1498;T_S258;4176;6
1499;T_S260;4176;15
1500;T_S265;4176;2
1501;T_S266;4176;4
1502;T_S267;4176;151
1503;T_S268;4176;13
1504;T_S270;4176;1
1505;T_S271;4176;6
1506;T_S272;4176;33
1507;T_S251;4182;1
1508;T_S253;4182;1
1509;T_S256;4182;1
1510;T_S257;4182;1
1511;T_S258;4182;1
1512;T_S259;4182;8
1513;T_S260;4182;1
1514;T_S261;4182;1
1515;T_S263;4182;4
1516;T_S264;4182;1000
1517;T_S269;4182;1
1518;T_S271;4182;1
1519;T_S273;4182;4
1520;T_S274;4182;3
1521;T_S268;4202;1
1522;T_S260;4203;1
1523;T_S267;4203;2
