;site;poissons;Abondance
2;T_S268;58;1
6;T_S268;68;1
11;T_S251;84;2
12;T_S256;84;2
13;T_S267;84;1
14;T_S270;84;1
15;T_S271;84;1
16;T_S273;84;1
17;T_S274;84;1
18;T_S252;760;50
19;T_S264;805;1
20;T_S266;805;1
21;T_S273;805;1
22;T_S249;822;2
23;T_S252;822;2
24;T_S253;822;3
25;T_S254;822;2
26;T_S261;822;1
27;T_S274;822;4
28;T_S275;822;1
29;T_S264;1110;1
30;T_S273;1298;2
31;T_S274;1298;5
34;T_S274;1314;2
42;T_S265;1330;1
43;T_S268;1330;1
44;T_S273;1330;16
45;T_S274;1330;4
46;T_S255;1360;1
52;T_S249;1370;2
53;T_S257;1370;1
54;T_S258;1370;1
55;T_S261;1370;1
56;T_S262;1370;1
57;T_S263;1370;1
58;T_S264;1370;1
59;T_S258;1448;1
60;T_S259;1448;3
61;T_S273;1448;2
62;T_S258;1456;1
63;T_S270;1784;1
65;T_S271;2266;10
66;T_S275;2266;1
68;T_S274;2290;1
71;T_S256;2332;1
72;T_S258;2332;2
73;T_S249;2334;1
74;T_S252;2334;1
75;T_S263;2334;2
76;T_S265;2334;2
90;T_S251;2346;1
91;T_S256;2346;2
92;T_S257;2346;2
93;T_S258;2346;12
94;T_S259;2346;2
95;T_S260;2346;4
96;T_S261;2346;1
97;T_S265;2346;1
98;T_S266;2346;2
99;T_S267;2346;14
100;T_S268;2346;10
101;T_S271;2346;8
102;T_S272;2346;11
103;T_S273;2346;8
104;T_S274;2346;2
105;T_S275;2346;2
111;T_S251;2392;3
112;T_S261;2392;2
113;T_S271;2392;1
115;T_S251;2399;1
116;T_S264;2404;2
129;T_S249;2412;8
130;T_S251;2412;2
131;T_S252;2412;7
132;T_S253;2412;4
133;T_S254;2412;7
134;T_S255;2412;7
135;T_S256;2412;2
136;T_S257;2412;2
137;T_S258;2412;3
138;T_S259;2412;3
139;T_S261;2412;2
140;T_S263;2412;6
141;T_S264;2412;9
142;T_S265;2412;12
143;T_S266;2412;6
144;T_S268;2412;2
145;T_S269;2412;1
146;T_S270;2412;8
147;T_S273;2412;5
148;T_S274;2412;3
149;T_S275;2412;1
151;T_S255;2414;1
152;T_S265;2418;1
156;T_S257;2554;1
157;T_S260;2554;1
158;T_S267;2554;6
159;T_S268;2554;1
160;T_S273;2554;2
161;T_S274;2554;1
175;T_S249;2556;8
176;T_S250;2556;6
177;T_S251;2556;9
178;T_S253;2556;3
179;T_S254;2556;3
180;T_S255;2556;12
181;T_S256;2556;3
182;T_S257;2556;7
183;T_S258;2556;6
184;T_S259;2556;5
185;T_S260;2556;2
186;T_S261;2556;4
187;T_S262;2556;2
188;T_S263;2556;5
189;T_S264;2556;3
190;T_S265;2556;8
191;T_S266;2556;5
192;T_S267;2556;1
193;T_S275;2556;5
195;T_S257;2557;2
196;T_S259;2557;1
197;T_S263;2570;8
201;T_S271;2614;2
202;T_S253;2650;1
203;T_S275;2716;1
204;T_S253;2760;5
205;T_S254;2760;5
206;T_S256;2760;2
207;T_S259;2760;21
208;T_S263;2760;6
209;T_S250;2898;15
210;T_S254;2913;1
211;T_S262;2914;36
212;T_S255;2936;1
213;T_S252;2942;1500
214;T_S249;2992;3
215;T_S250;2992;2
216;T_S252;2992;2
217;T_S254;2992;1
218;T_S256;2992;2
219;T_S257;2992;1
220;T_S262;2992;1
221;T_S265;2992;2
222;T_S268;3120;1
226;T_S256;3180;2
227;T_S263;3180;1
228;T_S264;3180;1
229;T_S269;3180;1
232;T_S273;3226;10
234;T_S251;3260;1
235;T_S269;3260;1
236;T_S271;3260;1
239;T_S267;3340;1
246;T_S251;3364;2
247;T_S253;3364;1
248;T_S256;3364;2
249;T_S258;3364;2
250;T_S261;3364;1
251;T_S264;3364;1
252;T_S265;3364;1
253;T_S266;3364;2
254;T_S269;3364;2
255;T_S274;3364;1
256;T_S275;3364;1
260;T_S253;3370;2
261;T_S259;3370;20
262;T_S261;3370;1
263;T_S267;3370;5
264;T_S274;3370;16
276;T_S249;3372;1
277;T_S253;3372;1
278;T_S259;3372;5
279;T_S260;3372;6
280;T_S261;3372;1
281;T_S263;3372;2
282;T_S273;3372;1
283;T_S274;3372;35
285;T_S257;3374;1
286;T_S259;3374;3
287;T_S274;3374;1
288;T_S270;3388;1
289;T_S274;3388;1
292;T_S268;3400;2
293;T_S274;3400;1
294;T_S275;3400;1
300;T_S258;3470;30
