Code_Site,Code_poisson
T_S18,300
T_S15,301
T_S17,301
T_S4,302
T_S7,302
T_S12,302
T_S19,302
T_S10,303
T_S10,303
T_S10,303
T_S10,303
T_S16,303
T_S16,303
T_S17,303
T_S1,304
T_S4,304
T_S9,304
T_S12,304
T_S13,304
T_S19,304
T_S1,305
T_S4,305
T_S9,305
T_S12,305
T_S19,305
T_S10,306
T_S10,307
T_S7,308
T_S8,308
T_S8,308
T_S8,308
T_S8,308
T_S8,308
T_S8,308
T_S8,308
T_S8,308
T_S15,308
T_S15,308
T_S15,308
T_S15,308
T_S15,308
T_S15,308
T_S15,308
T_S15,308
T_S17,308
T_S17,308
T_S17,308
T_S18,308
T_S18,308
T_S18,308
T_S18,308
T_S18,308
T_S18,308
T_S18,308
T_S7,309
T_S5,310
T_S11,310
T_S11,310
T_S11,310
T_S16,310
T_S13,311
T_S8,312
T_S18,312
T_S18,312
T_S18,312
T_S3,313
T_S3,313
T_S3,313
T_S6,313
T_S6,313
T_S6,313
T_S6,313
T_S6,313
T_S6,313
T_S8,313
T_S10,313
T_S10,313
T_S10,313
T_S10,313
T_S14,313
T_S16,313
T_S16,313
T_S16,313
T_S8,314
T_S8,314
T_S8,314
T_S15,314
T_S15,314
T_S17,314
T_S17,314
T_S17,314
T_S18,314
T_S18,314
T_S18,314
T_S18,314
T_S18,314
T_S18,314
T_S4,315
T_S19,315
T_S11,316
T_S19,317
T_S13,318
T_S6,319
T_S8,320
T_S8,320
T_S8,320
T_S8,320
T_S8,320
T_S8,320
T_S8,320
T_S8,320
T_S8,320
T_S15,320
T_S15,320
T_S15,320
T_S15,320
T_S15,320
T_S15,320
T_S15,320
T_S15,320
T_S15,320
T_S15,320
T_S17,320
T_S17,320
T_S17,320
T_S17,320
T_S17,320
T_S17,320
T_S17,320
T_S17,320
T_S17,320
T_S17,320
T_S17,320
T_S17,320
T_S17,320
T_S17,320
T_S18,320
T_S18,320
T_S18,320
T_S18,320
T_S18,320
T_S18,320
T_S3,321
T_S3,322
T_S6,322
T_S13,322
T_S14,322
T_S5,323
T_S6,323
T_S10,323
T_S6,324
T_S14,324
T_S14,325
T_S16,326
T_S16,326
T_S7,327
T_S7,327
T_S7,327
T_S8,327
T_S8,327
T_S8,327
T_S8,327
T_S8,327
T_S8,327
T_S8,327
T_S8,327
T_S8,327
T_S8,327
T_S8,327
T_S8,327
T_S15,327
T_S15,327
T_S15,327
T_S15,327
T_S15,327
T_S15,327
T_S15,327
T_S15,327
T_S15,327
T_S15,327
T_S15,327
T_S15,327
T_S15,327
T_S15,327
T_S15,327
T_S15,327
T_S15,327
T_S15,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S17,327
T_S18,327
T_S18,327
T_S18,327
T_S18,327
T_S18,327
T_S18,327
T_S18,327
T_S6,328
T_S6,328
T_S14,328
T_S16,328
T_S8,329
T_S8,329
T_S8,329
T_S8,329
T_S8,329
T_S8,329
T_S8,329
T_S8,329
T_S15,329
T_S15,329
T_S15,329
T_S15,329
T_S15,329
T_S15,329
T_S15,329
T_S15,329
T_S15,329
T_S15,329
T_S15,329
T_S15,329
T_S15,329
T_S15,329
T_S17,329
T_S17,329
T_S17,329
T_S17,329
T_S17,329
T_S17,329
T_S17,329
T_S17,329
T_S17,329
T_S17,329
T_S17,329
T_S17,329
T_S18,329
T_S18,329
T_S18,329
T_S18,329
T_S18,329
T_S8,330
T_S3,331
T_S11,332
T_S10,333
T_S3,334
T_S1,335
T_S8,335
T_S8,335
T_S8,335
T_S8,335
T_S8,335
T_S8,335
T_S8,335
T_S8,335
T_S8,335
T_S8,335
T_S9,335
T_S12,335
T_S13,335
T_S15,335
T_S15,335
T_S15,335
T_S15,335
T_S15,335
T_S15,335
T_S15,335
T_S15,335
T_S15,335
T_S15,335
T_S15,335
T_S15,335
T_S15,335
T_S15,335
T_S15,335
T_S15,335
T_S15,335
T_S15,335
T_S15,335
T_S15,335
T_S17,335
T_S17,335
T_S17,335
T_S17,335
T_S17,335
T_S17,335
T_S17,335
T_S18,335
T_S18,335
T_S18,335
T_S18,335
T_S18,335
T_S18,335
T_S18,335
T_S18,335
T_S19,335
T_S17,336
T_S8,337
T_S17,338
T_S15,339
T_S15,339
T_S15,339
T_S15,339
T_S15,339
T_S15,339
T_S15,339
T_S15,339
T_S15,339
T_S15,339
T_S15,339
T_S15,339
T_S18,339
T_S3,340
T_S11,341
T_S11,341
T_S18,341
T_S5,342
T_S5,342
T_S11,342
T_S14,342
T_S14,342
T_S16,342
T_S16,342
T_S1,343
T_S4,343
T_S7,343
T_S8,343
T_S8,343
T_S8,343
T_S8,343
T_S9,343
T_S11,343
T_S12,343
T_S13,343
T_S14,343
T_S14,343
T_S14,343
T_S15,343
T_S16,343
T_S16,343
T_S16,343
T_S18,343
T_S18,343
T_S18,343
T_S18,343
T_S18,343
T_S18,343
T_S18,343
T_S18,343
T_S18,343
T_S18,343
T_S19,343
T_S2,344
T_S16,344
T_S14,345
T_S14,346
T_S9,347
T_S12,347
T_S13,347
T_S19,347
T_S1,348
T_S4,348
T_S6,348
T_S6,348
T_S9,348
T_S11,348
T_S11,348
T_S12,348
T_S13,348
T_S18,348
T_S18,348
T_S18,348
T_S18,348
T_S19,348
T_S9,349
T_S1,350
T_S4,350
T_S9,350
T_S12,350
T_S13,350
T_S19,350
T_S1,351
T_S4,351
T_S9,351
T_S12,351
T_S1,352
T_S4,352
T_S9,352
T_S13,352
T_S19,352
